date,trades_count,total_pnl,avg_pnl,total_vol,avg_lev,cum_pnl,daily_return,rolling_vol_14,drawdown,max_drawdown_pct,sentiment_raw,sentiment_label
2025-03-04,1748,-2365.961276,-1.353524757437071,8670233.15,,2988924.200749,-2365.961276,219008.2018879574,-2365.9612759999,-0.0007909501077616454,15.0,fear
2025-04-01,371,2553.537968,6.882851665768194,1826029.6199999999,,2991477.738717,2553.537968,179239.9527069972,0.0,0.0,34.0,fear
2025-04-02,2512,416876.88812,165.9541752070064,15678409.27,,3408354.6268370003,416876.88812,193572.52198267067,0.0,0.0,44.0,fear
2025-04-03,2402,182075.566585,75.80165136761032,11124247.15,,3590430.1934220004,182075.566585,191441.22904192502,0.0,0.0,25.0,fear
2025-04-04,1272,-25515.678949999998,-20.05949602987421,3835545.73,,3564914.5144720003,-25515.678949999998,193667.46414819107,-25515.67895000009,-0.007106579873561447,28.0,fear
2025-05-01,239,3187.719363,13.337737920502093,451943.57,,3568102.233835,3187.719363,193356.19051213266,-22327.95958700031,-0.006218742151819945,53.0,greed
2025-05-02,1297,56706.235562,43.721075992289904,8743231.51,,3624808.469397,56706.235562,193278.14557643593,0.0,0.0,67.0,greed
2025-05-03,1660,269328.365917,162.24600356445782,9193654.22,,3894136.835314,269328.365917,191570.15276970863,0.0,0.0,67.0,neutral
2025-05-04,360,35907.33771,99.74260475,1267564.22,,3930044.173024,35907.33771,194645.20428667977,0.0,0.0,67.0,neutral
2025-06-01,573,6064.185393,10.583220581151831,556526.99,,3936108.358417,6064.185393,197438.6082554182,0.0,0.0,67.0,neutral
2025-06-02,1703,33803.799733,19.84955944392249,2818508.87,,3969912.15815,33803.799733,199220.9702670563,0.0,0.0,67.0,neutral
2025-06-03,760,16101.125561,21.18569152763158,6765324.96,,3986013.283711,16101.125561,198720.278067958,0.0,0.0,67.0,neutral
2025-06-04,1048,47053.449272,44.89832945801527,3551252.06,,4033066.7329829996,47053.449272,190519.97114902776,0.0,0.0,67.0,neutral
2025-07-01,637,16098.227531,25.271942748822607,1313178.1,,4049164.9605139997,16098.227531,126682.56286465017,0.0,0.0,67.0,neutral
2025-07-02,1524,22450.002091,14.730972500656167,3460263.54,,4071614.9626049995,22450.002091,125677.92707809147,0.0,0.0,67.0,neutral
2025-07-03,2552,150236.061627,58.86993010462382,19854275.48,,4221851.024231999,150236.061627,125114.91732643814,0.0,0.0,67.0,neutral
2025-07-04,2814,34527.370305,12.269854408315563,14460253.14,,4256378.394536999,34527.370305,82119.46688973322,0.0,0.0,67.0,neutral
2025-08-01,1039,130117.090554,125.23300342059672,3177275.18,,4386495.485090999,130117.090554,77234.69447480245,0.0,0.0,67.0,neutral
2025-08-02,575,586.703253,1.0203534834782608,839734.97,,4387082.188343999,586.703253,75386.05502149367,0.0,0.0,67.0,neutral
2025-08-03,529,24700.773359,46.69333338185255,892083.51,,4411782.961702999,24700.773359,74379.4279712978,0.0,0.0,67.0,neutral
2025-08-04,943,34899.394798,37.00890222481442,8869391.4,,4446682.356500999,34899.394798,74687.33899510944,0.0,0.0,67.0,neutral
2025-09-01,522,46975.928902,89.99220096168582,1020733.25,,4493658.285402999,46975.928902,43642.43023314604,0.0,0.0,67.0,neutral
2025-09-02,764,150551.829492,197.05736844502616,2920919.7,,4644210.114894999,150551.829492,52167.9788678827,0.0,0.0,67.0,neutral
2025-09-03,1422,19773.457395,13.905384947257385,10419697.99,,4663983.57229,19773.457395,51382.12365333902,0.0,0.0,67.0,neutral
2025-09-04,3967,43120.444797,10.86978694151752,28556806.47,,4707104.0170869995,43120.444797,51188.41898321577,0.0,0.0,67.0,neutral
2025-10-01,819,-10116.875552,-12.352717401709402,6547449.68,,4696987.141535,-10116.875552,53073.54169278766,-10116.875551999547,-0.0021492780944025736,67.0,neutral
2025-10-02,889,63908.49465,71.88807047244094,3624958.44,,4760895.636185,63908.49465,53173.48887254666,0.0,0.0,67.0,neutral
2025-10-03,2911,-10010.027269999999,-3.438690233596702,16811790.68,,4750885.608914999,-10010.027269999999,54956.93304902156,-10010.027270000428,-0.0021025512918030342,67.0,neutral
2025-10-04,2127,158261.822261,74.40612236060178,28741953.29,,4909147.431175999,158261.822261,61315.19158022754,0.0,0.0,67.0,neutral
2025-11-01,283,2269.080536,8.017952424028268,1658098.71,,4911416.511712,2269.080536,57142.51089459896,0.0,0.0,67.0,neutral
2025-11-02,848,-6093.784817,-7.186067001179245,2797544.17,,4905322.726895,-6093.784817,58950.540647203685,-6093.78481699992,-0.0012407387568267314,67.0,neutral
2025-11-03,3286,-76880.729036,-23.3964482763238,14016952.09,,4828441.997859,-76880.729036,62194.96693112974,-82974.51385299955,-0.01689421242428424,67.0,neutral
2025-11-04,1096,126406.479081,115.33437872354014,11319327.07,,4954848.47694,126406.479081,66327.05536874426,0.0,0.0,67.0,neutral
2025-12-01,602,5742.241803,9.538607646179402,2258459.17,,4960590.718743,5742.241803,66866.97808664199,0.0,0.0,67.0,neutral
2025-12-02,1031,19848.635032,19.251828353055284,4143974.54,,4980439.353775,19848.635032,67062.1538779076,0.0,0.0,67.0,neutral
2025-12-03,3968,288105.984215,72.60735489289314,18618139.15,,5268545.33799,288105.984215,94756.41365840952,0.0,0.0,67.0,neutral
2025-12-04,2109,410419.694533,194.60393292223802,55914617.49,,5678965.032523,410419.694533,132697.46637576315,0.0,0.0,67.0,neutral
